dgns_cd,longdesc,shortdesc,version,fyear,,
Infectious disease specialist,Cryptosporidiosis,Cryptosporidiosis,32,2015,,
Infectious disease specialist,Cyclosporiasis,Cyclosporiasis,32,2015,,
Infectious disease specialist,Other specified protozoal intestinal diseases,Protozoal intest dis NEC,32,2015,,
Infectious disease specialist,Unspecified protozoal intestinal disease,Protozoal intest dis NOS,32,2015,,
Infectious disease specialist,"Intestinal infection due to E. coli, unspecified",Intest infec e coli NOS,32,2015,,
Infectious disease specialist,Intestinal infection due to enteropathogenic E. coli,Int inf e coli entrpath,32,2015,,
Infectious disease specialist,Intestinal infection due to enterotoxigenic E. coli,Int inf e coli entrtoxgn,32,2015,,
Infectious disease specialist,Intestinal infection due to enteroinvasive E. coli,Int inf e coli entrnvsv,32,2015,,
Infectious disease specialist,Intestinal infection due to enterohemorrhagic E. coli,Int inf e coli entrhmrg,32,2015,,
Infectious disease specialist,Intestinal infection due to other intestinal E. coli infections,Int inf e coli spcf NEC,32,2015,,
Infectious disease specialist,Intestinal infection due to arizona group of paracolon bacilli,Arizona enteritis,32,2015,,
Infectious disease specialist,Intestinal infection due to aerobacter aerogenes,Aerobacter enteritis,32,2015,,
Infectious disease specialist,Intestinal infection due to proteus (mirabilis) (morganii),Proteus enteritis,32,2015,,
Infectious disease specialist,Intestinal infection due to staphylococcus,Staphylococc enteritis,32,2015,,
Infectious disease specialist,Intestinal infection due to pseudomonas,Pseudomonas enteritis,32,2015,,
Infectious disease specialist,Intestinal infection due to campylobacter,Int infec campylobacter,32,2015,,
Infectious disease specialist,Intestinal infection due to yersinia enterocolitica,Int inf yrsnia entrcltca,32,2015,,
Infectious disease specialist,Intestinal infection due to Clostridium difficile,Int inf clstrdium dfcile,32,2015,,
Infectious disease specialist,Intestinal infection due to other anaerobes,Intes infec oth anerobes,32,2015,,
Infectious disease specialist,Intestinal infection due to other gram-negative bacteria,Int inf oth grm neg bctr,32,2015,,
Infectious disease specialist,Intestinal infection due to other organisms,Bacterial enteritis NEC,32,2015,,
Infectious disease specialist,"Bacterial enteritis, unspecified",Bacterial enteritis NOS,32,2015,,
Infectious disease specialist,Enteritis due to rotavirus,Intes infec rotavirus,32,2015,,
Infectious disease specialist,Enteritis due to adenovirus,Intes infec adenovirus,32,2015,,
Infectious disease specialist,Enteritis due to norwalk virus,Int inf norwalk virus,32,2015,,
Infectious disease specialist,Enteritis due to other small round viruses [SRV's],Int inf oth sml rnd vrus,32,2015,,
Infectious disease specialist,Enteritis due to calicivirus,Enteritis d/t calicivirs,32,2015,,
Infectious disease specialist,Enteritis due to astrovirus,Intes infec astrovirus,32,2015,,
Infectious disease specialist,Enteritis due to enterovirus nec,Int inf enterovirus NEC,32,2015,,
Infectious disease specialist,Enteritis due to other viral enteritis,Other viral intes infec,32,2015,,
Infectious disease specialist,"Intestinal infection due to other organism, not elsewhere classified",Viral enteritis NOS,32,2015,,
Infectious disease specialist,"Infectious colitis, enteritis, and gastroenteritis",Infectious enteritis NOS,32,2015,,
Infectious disease specialist,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",Enteritis of infect orig,32,2015,,
Infectious disease specialist,Infectious diarrhea,Infectious diarrhea NOS,32,2015,,
Infectious disease specialist,Diarrhea of presumed infectious origin,Diarrhea of infect orig,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified",Prim TB complex-unspec,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, bacteriological or histological examination not done",Prim TB complex-no exam,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",Prim TB complex-exm unkn,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",Prim TB complex-micro dx,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB complex-cult dx,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB complex-histo dx,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB complex-oth test,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",Prim TB pleurisy-unspec,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",Prim TB pleurisy-no exam,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",Prim TB pleur-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",Prim TB pleuris-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB pleurisy-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB pleuris-histo dx,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB pleuris-oth test,32,2015,,
Infectious disease specialist,"Other primary progressive tuberculosis, unspecified",Prim prog TB NEC-unspec,32,2015,,
Infectious disease specialist,"Other primary progressive tuberculosis, bacteriological or histological examination not done",Prim prog TB NEC-no exam,32,2015,,
Infectious disease specialist,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",Prim pr TB NEC-exam unkn,32,2015,,
Infectious disease specialist,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",Prim prg TB NEC-micro dx,32,2015,,
Infectious disease specialist,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim prog TB NEC-cult dx,32,2015,,
Infectious disease specialist,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim prg TB NEC-histo dx,32,2015,,
Infectious disease specialist,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim prg TB NEC-oth test,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified, unspecified",Primary TB NOS-unspec,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",Primary TB NOS-no exam,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",Primary TB NOS-exam unkn,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",Primary TB NOS-micro dx,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Primary TB NOS-cult dx,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Primary TB NOS-histo dx,32,2015,,
Infectious disease specialist,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Primary TB NOS-oth test,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, infiltrative, unspecified",TB lung infiltr-unspec,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",TB lung infiltr-no exam,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",TB lung infiltr-exm unkn,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",TB lung infiltr-micro dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung infiltr-cult dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung infiltr-histo dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung infiltr-oth test,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, nodular, unspecified",TB lung nodular-unspec,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",TB lung nodular-no exam,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",TB lung nodul-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",TB lung nodular-micro dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung nodular-cult dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung nodular-histo dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung nodular-oth test,32,2015,,
Infectious disease specialist,"Tuberculosis of lung with cavitation, unspecified",TB lung w cavity-unspec,32,2015,,
Infectious disease specialist,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",TB lung w cavity-no exam,32,2015,,
Infectious disease specialist,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",TB lung cavity-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",TB lung w cavit-micro dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung w cavity-cult dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung w cavit-histo dx,32,2015,,
Infectious disease specialist,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung w cavit-oth test,32,2015,,
Infectious disease specialist,"Tuberculosis of bronchus, unspecified",TB of bronchus-unspec,32,2015,,
Infectious disease specialist,"Tuberculosis of bronchus, bacteriological or histological examination not done",TB of bronchus-no exam,32,2015,,
Infectious disease specialist,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",TB of bronchus-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",TB of bronchus-micro dx,32,2015,,
Infectious disease specialist,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",TB of bronchus-cult dx,32,2015,,
Infectious disease specialist,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of bronchus-histo dx,32,2015,,
Infectious disease specialist,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of bronchus-oth test,32,2015,,
Infectious disease specialist,"Tuberculous fibrosis of lung, unspecified",TB lung fibrosis-unspec,32,2015,,
Infectious disease specialist,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",TB lung fibrosis-no exam,32,2015,,
Infectious disease specialist,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",TB lung fibros-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",TB lung fibros-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung fibrosis-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung fibros-histo dx,32,2015,,
Infectious disease specialist,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung fibros-oth test,32,2015,,
Infectious disease specialist,"Tuberculous bronchiectasis, unspecified",TB bronchiectasis-unspec,32,2015,,
Infectious disease specialist,"Tuberculous bronchiectasis, bacteriological or histological examination not done",TB bronchiect-no exam,32,2015,,
Infectious disease specialist,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",TB bronchiect-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",TB bronchiect-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB bronchiect-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB bronchiect-histo dx,32,2015,,
Infectious disease specialist,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB bronchiect-oth test,32,2015,,
Infectious disease specialist,"Tuberculous pneumonia [any form], unspecified",TB pneumonia-unspec,32,2015,,
Infectious disease specialist,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",TB pneumonia-no exam,32,2015,,
Infectious disease specialist,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",TB pneumonia-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",TB pneumonia-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pneumonia-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pneumonia-histo dx,32,2015,,
Infectious disease specialist,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pneumonia-oth test,32,2015,,
Infectious disease specialist,"Tuberculous pneumothorax, unspecified",TB pneumothorax-unspec,32,2015,,
Infectious disease specialist,"Tuberculous pneumothorax, bacteriological or histological examination not done",TB pneumothorax-no exam,32,2015,,
Infectious disease specialist,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",TB pneumothorx-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",TB pneumothorax-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pneumothorax-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pneumothorax-histo dx,32,2015,,
Infectious disease specialist,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pneumothorax-oth test,32,2015,,
Infectious disease specialist,"Other specified pulmonary tuberculosis, unspecified",Pulmonary TB NEC-unspec,32,2015,,
Infectious disease specialist,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",Pulmonary TB NEC-no exam,32,2015,,
Infectious disease specialist,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",Pulmon TB NEC-exam unkn,32,2015,,
Infectious disease specialist,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",Pulmon TB NEC-micro dx,32,2015,,
Infectious disease specialist,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Pulmon TB NEC-cult dx,32,2015,,
Infectious disease specialist,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Pulmon TB NEC-histo dx,32,2015,,
Infectious disease specialist,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Pulmon TB NEC-oth test,32,2015,,
Infectious disease specialist,"Pulmonary tuberculosis, unspecified, unspecified",Pulmonary TB NOS-unspec,32,2015,,
Infectious disease specialist,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",Pulmonary TB NOS-no exam,32,2015,,
Infectious disease specialist,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",Pulmon TB NOS-exam unkn,32,2015,,
Infectious disease specialist,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",Pulmon TB NOS-micro dx,32,2015,,
Infectious disease specialist,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Pulmon TB NOS-cult dx,32,2015,,
Infectious disease specialist,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Pulmon TB NOS-histo dx,32,2015,,
Infectious disease specialist,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Pulmon TB NOS-oth test,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy, unspecified",TB pleurisy-unspec,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy, bacteriological or histological examination not done",TB pleurisy-no exam,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",TB pleurisy-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",TB pleurisy-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pleurisy-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pleurisy-histolog dx,32,2015,,
Infectious disease specialist,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pleurisy-oth test,32,2015,,
Infectious disease specialist,"Tuberculosis of intrathoracic lymph nodes, unspecified",TB thoracic nodes-unspec,32,2015,,
Infectious disease specialist,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",TB thorax node-no exam,32,2015,,
Infectious disease specialist,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",TB thorax node-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",TB thorax node-micro dx,32,2015,,
Infectious disease specialist,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB thorax node-cult dx,32,2015,,
Infectious disease specialist,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB thorax node-histo dx,32,2015,,
Infectious disease specialist,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB thorax node-oth test,32,2015,,
Infectious disease specialist,"Isolated tracheal or bronchial tuberculosis, unspecified",Isol tracheal tb-unspec,32,2015,,
Infectious disease specialist,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",Isol tracheal tb-no exam,32,2015,,
Infectious disease specialist,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",Isol trach tb-exam unkn,32,2015,,
Infectious disease specialist,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",Isolat trach tb-micro dx,32,2015,,
Infectious disease specialist,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Isol tracheal tb-cult dx,32,2015,,
Infectious disease specialist,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Isolat trach tb-histo dx,32,2015,,
Infectious disease specialist,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Isolat trach tb-oth test,32,2015,,
Infectious disease specialist,"Tuberculous laryngitis, unspecified",TB laryngitis-unspec,32,2015,,
Infectious disease specialist,"Tuberculous laryngitis, bacteriological or histological examination not done",TB laryngitis-no exam,32,2015,,
Infectious disease specialist,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",TB laryngitis-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",TB laryngitis-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB laryngitis-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB laryngitis-histo dx,32,2015,,
Infectious disease specialist,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB laryngitis-oth test,32,2015,,
Infectious disease specialist,"Other specified respiratory tuberculosis, unspecified",Resp TB NEC-unspec,32,2015,,
Infectious disease specialist,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",Resp TB NEC-no exam,32,2015,,
Infectious disease specialist,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",Resp TB NEC-exam unkn,32,2015,,
Infectious disease specialist,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",Resp TB NEC-micro dx,32,2015,,
Infectious disease specialist,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Resp TB NEC-cult dx,32,2015,,
Infectious disease specialist,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Resp TB NEC-histo dx,32,2015,,
Infectious disease specialist,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Resp TB NEC-oth test,32,2015,,
Infectious disease specialist,"Tuberculous meningitis, unspecified",TB meningitis-unspec,32,2015,,
Infectious disease specialist,"Tuberculous meningitis, bacteriological or histological examination not done",TB meningitis-no exam,32,2015,,
Infectious disease specialist,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)",TB meningitis-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy",TB meningitis-micro dx,32,2015,,
Infectious disease specialist,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB meningitis-cult dx,32,2015,,
Infectious disease specialist,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB meningitis-histo dx,32,2015,,
Infectious disease specialist,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB meningitis-oth test,32,2015,,
Infectious disease specialist,"Tuberculoma of meninges, unspecified",Tubrclma meninges-unspec,32,2015,,
Infectious disease specialist,"Tuberculoma of meninges, bacteriological or histological examination not done",Tubrclma mening-no exam,32,2015,,
Infectious disease specialist,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)",Tubrclma menin-exam unkn,32,2015,,
Infectious disease specialist,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy",Tubrclma mening-micro dx,32,2015,,
Infectious disease specialist,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Tubrclma mening-cult dx,32,2015,,
Infectious disease specialist,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Tubrclma mening-histo dx,32,2015,,
Infectious disease specialist,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Tubrclma mening-oth test,32,2015,,
Infectious disease specialist,"Tuberculoma of brain, unspecified",Tuberculoma brain-unspec,32,2015,,
